# From MPC 26543
P/2004 A1 (LONEOS),e,10.5728,124.9450,21.5432,7.927866,0.0441540,0.31283681,167.6982,02/05.0/2015,2000,g  6.5,4.0
# From MPC 54558
P/2004 DO29 (Spacewatch-LINEAR),e,14.5423,147.5343,40.4692,7.287039,0.0501046,0.44202309,189.5198,02/05.0/2015,2000,g 13.5,2.0
# From MPC 54823
P/2004 FY140 (LINEAR),e,2.1371,326.7889,241.8732,4.893707,0.0910431,0.17047632,344.5999,02/05.0/2015,2000,g 12.5,2.0
# From NK 1143
P/2004 R1 (McNaught),e,4.9004,295.9465,0.7392,3.098812,0.1806805,0.68474812,325.9841,02/05.0/2015,2000,g 18.5,4.0
# From MPC 53304
P/2004 R3 (LINEAR-NEAT),e,13.7882,307.8081,39.7052,4.627648,0.0990065,0.29233780,122.9282,02/05.0/2015,2000,g 14.5,4.0
# From CCO 17
P/2004 T1 (LINEAR-NEAT),e,11.0383,51.4652,336.4172,3.473782,0.1522300,0.50659122,210.6143,02/05.0/2015,2000,g 12.5,4.0
# From MPC 55521
P/2004 V3 (Siding Spring),e,50.3612,356.0998,322.5139,7.144002,0.0516169,0.44425575,193.5260,02/05.0/2015,2000,g 11.5,4.0
# From MPC 75705
P/2004 V5 (LINEAR-Hill),e,19.3553,47.8063,87.9196,7.947578,0.0439898,0.44721119,159.2187,02/05.0/2015,2000,g  8.0,4.0
# From MPC 75705
P/2004 WR9 (LINEAR),e,4.9310,24.9222,72.1165,6.135797,0.0648481,0.68375537,238.0185,02/05.0/2015,2000,g 14.5,4.0
# From MPC 54164
P/2005 E1 (Tubbiolo),e,4.2717,335.7236,193.9499,7.035810,0.0528120,0.37648919,193.4658,02/05.0/2015,2000,g 10.0,4.0
# From MPC 54823
P/2005 GF8 (LONEOS),e,1.1900,314.9606,285.2362,5.858232,0.0695111,0.51511175,241.7995,02/05.0/2015,2000,g 11.5,4.0
# From MPC 75290
P/2005 JN (Spacewatch),e,8.8525,70.7722,153.3822,3.499476,0.1505565,0.34798418,169.5786,02/05.0/2015,2000,g 14.0,4.0
# From MPC 79019
P/2005 J1 (McNaught),e,31.7387,268.7994,338.9179,3.569952,0.1461203,0.56947721,163.1851,02/05.0/2015,2000,g 16.5,4.0
# From MPC 75705
P/2005 JD108 (Catalina-NEAT),e,3.2701,224.1743,90.6230,6.476935,0.0597929,0.37352913,208.0392,02/05.0/2015,2000,g 10.0,4.0
# From MPC 74246
P/2005 L1 (McNaught),e,7.7321,138.2640,149.6591,3.985314,0.1238826,0.20739119,54.2556,02/05.0/2015,2000,g  9.5,4.0
# From MPC 87062
C/2005 L3 (McNaught),e,139.4044,288.8403,47.0299,3359,0.0000051,0.99833808,0.0000,01/13.2128/2008,2000,g  4.0,4.0
# From MPC 75706
P/2005 R1 (NEAT),e,15.4871,257.9757,118.9153,5.513407,0.0761332,0.62584499,259.7157,02/05.0/2015,2000,g 14.0,4.0
# From MPC 91610
P/2005 RV25 (LONEOS-Christensen),e,9.8974,246.8689,191.7841,4.307628,0.1102419,0.16862320,330.7189,02/05.0/2015,2000,g 13.5,4.0
# From MPC 75706
P/2005 S2 (Skiff),e,3.1367,161.2018,230.9307,8.019757,0.0433973,0.19644423,136.0949,02/05.0/2015,2000,g  7.5,4.0
# From MPC 75706
P/2005 S3 (Read),e,3.4898,273.2113,140.5956,4.881891,0.0913739,0.42238333,301.9136,02/05.0/2015,2000,g 12.0,4.0
# From MPC 75706
P/2005 SB216 (LONEOS),e,24.0600,1.4698,83.5394,7.105618,0.0520357,0.46480340,151.5974,02/05.0/2015,2000,g 12.0,2.0
# From MPC 55717
P/2005 T2 (Christensen),e,8.3178,260.4267,59.0465,3.831097,0.1314375,0.42043205,111.8647,02/05.0/2015,2000,g 14.5,4.0
# From MPC 73461
P/2005 T3 (Read),e,6.2504,27.9602,9.2764,7.552846,0.0474830,0.17197126,156.9279,02/05.0/2015,2000,g  9.0,4.0
# From MPC 73461
P/2005 T4 (SWAN),e,160.1215,25.4927,41.4357,9.361573,0.0344097,0.93153681,117.1155,02/05.0/2015,2000,g 15.0,4.0
# From MPC 75706
P/2005 T5 (Broughton),e,21.3478,56.9825,304.7973,7.289059,0.0500838,0.55023599,169.7077,02/05.0/2015,2000,g 11.0,4.0
# From MPC 56954
P/2005 W3 (Kowalski),e,16.6850,211.0562,199.4798,6.342438,0.0617049,0.54254175,210.7542,02/05.0/2015,2000,g 12.0,4.0
# From MPC 75706
P/2005 XA54 (LONEOS-Hill),e,17.1480,143.7858,15.0576,6.052716,0.0661879,0.71097086,215.5164,02/05.0/2015,2000,g 14.0,4.0
# From MPC 75706
P/2005 Y2 (McNaught),e,19.1291,94.5887,194.6007,6.320577,0.0620253,0.46539377,230.1850,02/05.0/2015,2000,g  9.0,4.0
# From MPC 75707
P/2006 D1 (Hill),e,17.3665,359.9808,119.4189,5.567661,0.0750231,0.66014716,253.8637,02/05.0/2015,2000,g 16.0,4.0
# From MPC 75707
P/2006 F1 (Kowalski),e,21.2813,124.7590,185.9488,4.669080,0.0976916,0.11913082,249.2846,02/05.0/2015,2000,g  8.0,4.0
# From MPC 56954
P/2006 F4 (Spacewatch),e,12.3846,184.0424,30.9925,3.530377,0.1485841,0.33712014,116.3227,02/05.0/2015,2000,g 15.0,4.0
# From MPC 75707
P/2006 G1 (McNaught),e,18.1629,298.7640,308.4096,5.031345,0.0873329,0.45168729,296.4660,02/05.0/2015,2000,g 12.0,4.0
# From MPC 58118
P/2006 H1 (McNaught),e,12.8604,0.1134,310.2140,5.709014,0.0722541,0.58006119,231.7933,02/05.0/2015,2000,g 12.5,4.0
# From MPC 75707
P/2006 HR30 (Siding Spring),e,31.9231,309.5692,117.6521,7.804018,0.0452092,0.84301911,133.5704,02/05.0/2015,2000,g 11.0,4.0
# From MPC 73914
C/2006 K4 (NEAT),e,111.1943,116.6421,233.5710,1169,0.0000247,0.99727313,0.0000,11/26.7507/2007,2000,g  6.0,4.0
# From MPC 82313
C/2006 OF2 (Broughton),h,09/14.4060/2008,30.0641,318.3402,96.0332,1.002591,2.451079,2000,5.5,4.0
# From MPC 72849
C/2006 Q1 (McNaught),e,59.1202,199.3868,344.2479,1463,0.0000176,0.99812062,0.0000,07/04.3571/2008,2000,g  5.0,4.0
# From MPC 73461
